Species_Code,Species,Country,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3,Marine fishes,Japan,JPN,3381374,3238379,2980087,3208601,3086394,3173754,3264602,3161040,3178777,2941995,2979210,2765298,2762858,2677628,2714842,2665883,2569955,2617400
3,Marine fishes,Korea,KOR,763100,842549,709289,649957,667882,715194,706767,751093,870014.488,787808,722521.302,833563,691508,683241,684560,707576,607419,686159.983
3,Marine fishes,Latvia,LVA,0,0,0,0,121347,147485,137960,151598,154123,159212,162188,152620,91887,112569,117269,76031,108133,115549.69
3,Marine fishes,Lithuania,LTU,0,0,0,0,12398.75764,8760.36561,100233.8885,149562.4364,27708.64145,32888.05293,32689.26191,29785.83159,27669.92771,79360.81817,141568.812,65827.63433,94053.36137,85739.852
3,Marine fishes,Mexico,MEX,0,0,0,0,0,885161.9785,908040.0969,980872.678,1083916.99,1133087.814,998418.3637,1053995.161,1098239.009,1153179.394,1070745.953,989243.7864,973702.493,1141838.184
3,Marine fishes,Netherlands,NLD,0,0,0,0,0,0,0,0,395603.221,331585.076,363998.236,329700.437,323138.092,319097.051,351143.981,302848.501,338093.444,411295.942
3,Marine fishes,New Zealand,NZL,0,86331.687,500203.2,476024.073,422095.939,409016.221,377730.137,388554.818,371837.984,375420.969,385307.058,381333.312,390074.297,400037.586,408429.833,409873.635,365624.804,390454.104
3,Marine fishes,Norway,NOR,2466756.146,2460322.868,2501473.436,2314853.049,2289598.896,2169723.473,2036713.64,2134003.65,2167564.202,2276113.947,2341878.055,1946775.768,1827397.862,1733770.174,1918751.046,1950976.964,1675408.409,2021962.042
3,Marine fishes,Peru,PER,10471172.64,7749883.284,8521720.938,5822503.275,9224307.934,8982448.798,6475326.22,6646767.266,6740157.365,6368237.301,3730331.738,7639601.432,4171628.223,5266811.872,2797334.287,4187477.604,3369886.45,0
3,Marine fishes,Poland,POL,0,0,0,0,120639.7782,118501.1318,99341.8523,102509.0146,89721.2833,126636.0368,105424.8898,106457.626,115617.0888,128876.7381,113481.4467,129621.7502,133917.4341,132667.5494
3,Marine fishes,Portugal,PRT,150971.027,149334.1625,154870.6912,160172.7217,164527.2681,157777.943,162842.972,174187.5289,178063.3294,157990.195,195613.0655,215173.8,189707.1,185521.172,153186.1,166821.7,166972.465,156826.5
3,Marine fishes,Slovenia,SVN,0,0,0,0,0,0,871.1,820.7,642.9,807.8,700.3,660.3,278.6,202.7,214.1,167.1,115.61383,104.24483
3,Marine fishes,Spain,ESP,882099,854841,852200,816548,646639,641894,707720,765917,825242,635238.3,695389.8,658166.74,662761.44,793157.54,995661.7,772232.77,746483.72,790221.28
3,Marine fishes,Sweden,SWE,334766.5961,309055.8288,287547.9489,277655.9988,254220.3821,233905.3307,244655.5874,221670.2833,216878.8361,194953.7806,200076.8485,172770.3663,145003.6352,173318.6036,166935.71,197233.6349,191965.6197,216867.2733
3,Marine fishes,Thailand,THA,2215441,2221549,2267090,2289963,2314414,2275602,2045859,1822378,1276899,1326201,1324728,1273627,1238219,1277068,1234963,0,0,0
3,Marine fishes,Turkey,TUR,440970,464490,492584,415026,455580,332072,408207,515949,393371,377566,397082,429664.5,313937.2,293626.9,228963.9,343730.3,262219,268100.2
3,Marine fishes,United Kingdom,GBR,610632.6616,593372.2441,547213.4861,496904.9044,523019.7726,576027.0705,477626.2993,466012.0772,437699.8855,446900.0968,454631.0399,441014.0531,463616.67,471644.6074,606976.4281,559351.8131,548632.8093,578429.6849
3,Marine fishes,United States,USA,3310678,3520482,3532769,3495988,3530897,3469435,3527705,3373944,3090394,2833316,2882708,3681788,3630968,3580971,3671132,3642630,3757897,3697618
4,Crustaceans,Argentina,ARG,37574.1,79494,52277.9,55036.6,28650.9,8710.7,45803,48433.1,49621.4,54302.4,73924.7,86396.5,84530.1,104807.1,132651.869,147025.028,175442.512,245714.754
4,Crustaceans,Australia,AUS,0,52785.3115,48182.88,47844.47,51623.23,45958.05,42694.61116,37996.67,40217.38,37953.926,37789.15,39287.72394,33013.57,32995.96,37114.36,35978.68,35114.29,36625.81
4,Crustaceans,Belgium,BEL,889.297,1174.509,786.224,1230.766,931.587,1104.651,1025.485,845.296,1127.897,891.071,1834.06,1054.069,1288.564,1610.537,1655.099,1418.872,2066.697,1883.35
4,Crustaceans,Canada,CAN,291973.0841,295686.9096,311552.5482,310284.1591,349529.9222,332165.6048,336824.4388,343281.0632,334506.0874,306948.1366,328693.695,312868.005,326356.856,330270.901,329821.021,334593.888,291469.401,0
4,Crustaceans,Chile,CHL,0,0,0,0,0,0,0,0,24039,25290,25033,31245,40589,37785,39827,35829,0,0
4,Crustaceans,Chinese Taipei,TWN,30902.37624,28137.436,25280.1993,35433.9324,25876.4196,23493.5991,21735.69428,20440.64993,18156.99415,20928.54386,28793.98207,30464.85692,27894.95361,27905.03974,28895.01222,16818.76094,11215.10016,10051.1683
4,Crustaceans,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,1169.325251,1360.014521,1157.697204,1170.979061,434.3534869,1717.66793
4,Crustaceans,Costa Rica,CRI,1407.76618,1072.069,1084.56829,1196.65592,1284.52225,1303.56827,1412.65092,1331.12232,1115.098388,878.300914,826.415964,1139.666605,1835.50579,2489.97228,1673.534293,1083.494661,713.4321401,0
4,Crustaceans,Denmark,DNK,13528.5,12403.5,14643.9,16212.2,17059.4,17305,17297.2,15877.3,14777.2,15989.9,14728.9,14018.6,12057.4,11999,12753.4,10840.8,12146.7,12176.4
4,Crustaceans,Estonia,EST,0,0,0,0,0,12381.154,9242.46,12075.654,12741.765,8587.384,9037.369,10776.703,7575.565,6653.386,5665.06055,6739.7005,6953.8561,7412.938
4,Crustaceans,France,FRA,16934,18410,18732,17809,15035,12756,12470.1,14308.7,13743.4,11769.3,11270.1,19217.62,15374.36,15343.1,16452,14943.6,16075.7,15994.61
4,Crustaceans,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11496.363,8960.955,8658.873
